main_id,name,created_at
1,명쾌하게 한마디로,2025.1.17 13:10
1,눈치 보는 스타일,2025.1.17 13:10
1,느긋한 편,2025.1.17 13:10
1,다이나믹 소통,2025.1.17 13:10
1,유머러스한 스타일,2025.1.17 13:10
1,진지하게 깊이 있는,2025.1.17 13:10
1,빠르고 간결하게,2025.1.17 13:10
1,차분하게 설명형,2025.1.17 13:10
1,공감 중심의 소통,2025.1.17 13:10
1,논리적으로 설득형,2025.1.17 13:10
2,리더십 스타일,2025.1.17 13:10
2,서포터형,2025.1.17 13:10
2,자유로운 영혼,2025.1.17 13:10
2,피드백러,2025.1.17 13:10
2,기획 아이디어형,2025.1.17 13:10
2,추진력 넘치는,2025.1.17 13:10
2,데이터 중심적,2025.1.17 13:10
2,팀워크 중시형,2025.1.17 13:10
2,디테일 집착형,2025.1.17 13:10
2,유연한 문제 해결자,2025.1.17 13:10
3,목표 지향적,2025.1.17 13:10
3,시간 엄수형,2025.1.17 13:10
3,유연 근무 가능형,2025.1.17 13:10
3,멀티태스킹 능력자,2025.1.17 13:10
3,집중 몰입형,2025.1.17 13:10
3,철저한 계획형,2025.1.17 13:10
3,즉흥적으로 해결형,2025.1.17 13:10
3,꼼꼼한 점검형,2025.1.17 13:10
3,마감 압박을 즐기는,2025.1.17 13:10
3,창의적인 실험가,2025.1.17 13:10
4,적극적으로 돌파형,2025.1.17 13:10
4,분석하고 전략적 해결형,2025.1.17 13:10
4,창의적이고 독창적,2025.1.17 13:10
4,협력해서 해결형,2025.1.17 13:10
4,데이터 기반으로 접근,2025.1.17 13:10
4,신속하고 결단력 있는,2025.1.17 13:10
4,차분히 기다리는 스타일,2025.1.17 13:10
4,실험하고 수정 반복형,2025.1.17 13:10
4,직관에 의존하는 스타일,2025.1.17 13:10
4,의견 조율을 중시하는,2025.1.17 13:10
5,ISTJ (청렴결백한 논리주의자),2025.1.17 13:10
5,ISFJ (용감한 수호자),2025.1.17 13:10
5,INFJ (통찰력 있는 예언자),2025.1.17 13:10
5,INTJ (전략적인 사색가),2025.1.17 13:10
5,ISTP (호기심 많은 해결사),2025.1.17 13:10
5,ISFP (호기심 많은 예술가),2025.1.17 13:10
5,INFP (열정적인 중재자),2025.1.17 13:10
5,INTP (논리적인 사색가),2025.1.17 13:10
5,ESTP (모험을 즐기는 활동가),2025.1.17 13:10
5,ESFP (자유로운 영혼의 연예인),2025.1.17 13:10
5,ENFP (열정적인 활동가),2025.1.17 13:10
5,ENTP (논쟁을 즐기는 발명가),2025.1.17 13:10
5,ESTJ (효율적인 관리자),2025.1.17 13:10
5,ESFJ (사교적인 협력가),2025.1.17 13:10
5,ENFJ (따뜻한 카리스마 리더),2025.1.17 13:10
5,ENTJ (결단력 있는 통솔자),2025.1.17 13:10