img_url,name,created_at
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/GitHub_Invertocat_Logo.svg/440px-GitHub_Invertocat_Logo.svg.png,GitHub,2025.1.9 23:41
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Notion-logo.svg/1920px-Notion-logo.svg.png,Notion,2025.1.9 23:41
https://media.licdn.com/dms/image/v2/C560BAQHaVYd13rRz3A/company-logo_200_200/company-logo_200_200/0/1638831590218/linkedin_logo?e=1744243200&v=beta&t=jtdqbbzcNAj1qA5yIQpzV3jLxjj5YB0WTrEAZdC2bIY,LinkedIn,2025.1.9 23:41
https://yt3.googleusercontent.com/Bg5wS82KGryRmcsn1YbPThtbXoTmj2XJ9_7LmuE2RF6wbKJBkovfRypbSz6UD3gEu_nHiwGZtQ=s160-c-k-c0x00ffffff-no-rj,YouTube,2025.1.9 23:41
https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Instagram_logo_2022.svg/300px-Instagram_logo_2022.svg.png,Instagram,2025.1.9 23:41
https://scontent-gmp1-1.xx.fbcdn.net/v/t39.30808-6/338119406_123539327280726_7375065325878182370_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=xSXhA5-i0Z4Q7kNvgHt9YCc&_nc_zt=23&_nc_ht=scontent-gmp1-1.xx&_nc_gid=Aa-F_8LEVSntC-a9YNEQLh0&oh=00_AYBeEwL3M1aNeUAyuBRuBpGF6boPEgFnBxP75VxdeDax0A&oe=6785CBAE,Brunch,2025.1.9 23:41
https://about.x.com/content/dam/about-twitter/x/large-x-logo.png.twimg.1920.png,Twitter,2025.1.9 23:41
https://cdn-icons-png.flaticon.com/512/124/124037.png,Dribbble,2025.1.9 23:41
https://cdn-icons-png.flaticon.com/512/6124/6124991.png,Trello,2025.1.9 23:41
https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Figma-logo.svg/800px-Figma-logo.svg.png,Figma,2025.1.9 23:41
,기타,2025.1.9 23:41